 ,2
!,1
,,2
-,4
.,1
0,5
1,3
2,5
3,4
4,4
5,4
6,5
7,5
8,5
9,5
:,1
A,5
C,4
D,5
E,4
F,4
H,4
I,3
M,7
N,5
P,5
Q,5
S,5
T,5
V,5
W,7
X,3
Y,3
\,1
f,3
i,1
l,1
m,5
t,3
v,5
w,5
x,5
y,5
z,3
